sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS,47.50,-,TBZ,68.30,,68.35,144.40,-,65.35,25.22
STEEL - SPONGE IRON,337.90,-,TATASPONGE,591.65,,592.25,685.00,-,524.36,21.13
FINANCE - INVESTMENTS,18.20,-,TCIFINANCE,22.70,,22.60,38.80,-,31.10,30.29
COMPUTERS - SOFTWARE,2115.00,17.67,TCS,2401.10,,2405.15,2770.00,19.05,331.71,18.27
ENGINEERING - HEAVY,176.60,27.83,TDPOWERSYS,185.10,,186.35,330.00,-,142.39,36.31
CONSTRUCTION & CONTRACTING - REAL ESTATE,262.15,29.31,TCIDEVELOP,347.00,,351.90,411.00,43.59,160.65,26.47
MISCELLANEOUS,806.65,-,TEAMLEASE,1065.05,,1074.35,1209.45,-,,23.62
COMPUTERS - SOFTWARE,407.40,10.45,TECHM,428.50,,428.70,578.85,12.93,147.83,18.27
INFRASTRUCTURE - GENERAL,27.55,-,TEXINFRA,40.80,,41.00,44.90,-,40.87,26.47
ENGINEERING,136.05,-,TECHNOFAB,197.90,,198.00,247.00,-,220.73,32.96
ELECTRIC EQUIPMENT,210.00,17.39,TECHNO,305.00,,306.40,361.50,23.09,88.85,25.50
FINANCE - TERM LENDING INSTITUTIONS,34.75,-,TFCILTD,61.60,,61.55,69.20,-,,5.08
FINANCE - GENERAL,5.35,107.50,TFL,8.60,,8.60,16.25,-,22.46,30.29
MISCELLANEOUS,165.00,147.17,THOMASCOOK,203.10,,202.65,228.90,-,29.04,54.27
STEEL - MEDIUM & SMALL,176.05,-,TIIL,363.00,,360.90,377.85,-,212.22,8.27
ENGINEERING - HEAVY,214.95,-,TIL,232.80,,231.65,552.00,-,279.95,28.61
LUBRICANTS,4181.00,-,TIDEWATER,5632.05,,5634.60,8321.43,-,1534.44,38.41
PACKAGING,40.20,8.71,TIMETECHNO,99.75,,100.10,107.95,14.78,54.43,20.73
METALS - NON FERROUS,56.25,-,TINPLATE,83.90,,83.90,107.70,-,,15.81
CHEMICALS,129.80,12.62,TIRUMALCHM,643.65,,644.30,,19.79,213.63,13.08
FINANCE - LEASING & HIRE PURCHASE,17.00,-,TIMESGTY,23.25,,22.00,28.00,-,,30.29
INFRASTRUCTURE - GENERAL,690.00,-,THERMAX,882.60,,889.65,972.00,-,197.65,24.53
PAPER,181.20,,TNPL,349.60,,349.85,,,,
MISCELLANEOUS,301.70,-,TITAN,406.50,,406.55,444.50,-,39.31,51.10
MEDIA & ENTERTAINMENT,41.30,-,TIPSINDLTD,63.00,,62.50,83.50,-,,41.34
PLASTICS,156.00,-,TPLPLASTEH,443.95,,444.50,560.00,-,,37.15
