sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
ELECTRODES & GRAPHITE,438.05,-,ESABINDIA,599.90,,605.55,688.95,-,,23.51
SHIPPING,17.95,112.40,ESSARSHPNG,28.10,,27.80,38.10,-,325.33,9.42
CERAMICS & GRANITE,2.30,0.42,EUROCERA,6.77,,6.65,10.10,-,-58.77,39.24
PACKAGING,33.75,-,ESTER,44.50,,44.40,108.15,-,31.23,20.87
FINANCE - INVESTMENTS,10.00,-,EQ30,,,225.50,256.28,-,,-
STEEL - MEDIUM & SMALL,2.10,-,ESL,2.82,,2.75,4.50,-,,8.22
DRY CELLS,192.25,-,EVEREADY,251.40,,255.55,318.50,-,90.74,30.82
TEXTILES - SPINNING - COTTON BLENDED,21.00,-,EUROTEXIND,25.90,,25.95,41.30,-,,13.00
PACKAGING,132.00,11.21,ESSELPACK,220.00,,219.80,247.00,19.06,62.03,20.87
CEMENT - PRODUCTS & BUILDING MATERIALS,192.05,-,EVERESTIND,260.00,,260.65,371.70,-,,36.77
PACKAGING,,-,ESSDEE,52.65,,52.15,385.00,-,254.57,20.87
COMPUTERS - SOFTWARE - TRAINING,,-,EVERONN,17.50,,17.55,36.30,-,-398.24,109.90
PESTICIDES & AGRO CHEMICALS,763.05,-,EXCELCROP,1324.55,,1330.25,1474.70,-,289.22,39.84
CHEMICALS,138.70,-,EXCELINDUS,304.00,,301.10,348.90,-,153.68,39.84
AUTO ANCILLARIES,116.00,-,EXIDEIND,181.55,,181.35,199.50,-,50.35,30.29
COMPUTERS - SOFTWARE MEDIUM & SMALL,23.50,43.11,EXCEL,31.90,,32.80,53.70,-,53.03,20.66
FINANCE - INVESTMENTS,14.95,-,FCEL,19.65,,19.65,27.25,-,3.98,23.96
FERTILISERS,18.10,-,FACT,22.05,,22.10,28.70,-,,13.84
CONSUMER GOODS - WHITE GOODS,58.15,-,FEDDERLOYD,72.45,,72.35,109.20,-,133.46,43.98
BEARINGS,3700.00,-,FAGBEARING,4022.00,,4047.40,4415.00,-,,32.27
COMPUTERS - SOFTWARE MEDIUM & SMALL,,-,FCSSOFT,0.29,,0.30,0.60,-,2.32,18.34
CHEMICALS,19.50,15.43,FCL,25.15,,25.15,38.00,15.92,8.13,37.56
BANKS - PRIVATE SECTOR,41.35,-,FEDERALBNK,70.35,,70.30,,-,46.87,22.68
PHARMACEUTICALS,165.00,-,FDC,211.00,,209.80,274.35,-,59.04,29.36
RETAIL,15.70,0.86,FEL,15.90,,16.00,172.95,-,70.97,47.49
RETAIL,13.10,0.81,FELDVR,15.00,,15.45,144.20,-,70.97,47.49
COMPUTERS - SOFTWARE,70.65,2.40,FINANTECH,78.30,,78.25,134.35,-,676.73,18.34
TEXTILES - MANMADE,32.75,-,FILATEX,67.75,,67.40,87.70,-,,17.75
CABLES - TELEPHONE,202.20,-,FINCABLES,443.00,,445.30,,-,,22.03
HOSPITALS & MEDICAL SERVICES,141.00,52.68,FORTIS,162.25,,161.80,198.90,-,86.29,58.56
PETROCHEMICALS,245.60,-,FINPIPE,455.00,,455.05,497.50,-,,23.40
RETAIL,66.70,-,FLFL,132.00,,131.00,142.40,-,,87.12
AUTO ANCILLARIES,509.60,-,FIEMIND,1112.20,,1116.85,,-,208.47,29.20
TEXTILES - GENERAL,2.05,-,FIRSTWIN,3.32,,3.00,3.35,-,19.08,22.25
MISCELLANEOUS,12.60,-,FMNL,27.15,,27.95,41.70,-,28.02,26.62
AUTO ANCILLARIES,273.60,-,FMGOETZE,448.35,,446.40,594.00,-,91.70,49.92
COMPUTERS - SOFTWARE MEDIUM & SMALL,26.30,7.58,FSL,39.05,,39.05,53.65,9.36,35.93,20.66
AUTO ANCILLARIES,75.00,-,GABRIEL,115.55,,116.15,,-,,18.74
PACKAGING,153.10,6.65,FLEXITUFF,189.20,,189.00,248.00,97.53,153.95,20.87
STEEL - SPONGE IRON,22.40,-,GALLANTT,41.10,,40.80,51.40,-,,21.74
STEEL - SPONGE IRON,26.35,-,GAL,101.25,,102.00,,-,,11.85
OIL DRILLING AND EXPLORATION,276.15,-,GAIL,362.95,,363.45,407.70,-,279.05,14.98
CHEMICALS,1065.10,-,FOSECOIND,1402.00,,1399.25,1580.00,-,,32.86
CONSTRUCTION & CONTRACTING - CIVIL,3.80,1.27,GAMMNINFRA,4.67,,4.65,9.10,-,11.26,48.32
STEEL - SPONGE IRON,342.55,-,GALLISPAT,546.45,,546.45,663.00,-,99.26,8.22
EDIBLE OILS & SOLVENT EXTRACTION,35.25,-,GAEL,76.85,,77.75,93.50,-,66.24,16.91
CONSTRUCTION & CONTRACTING - HOUSING,56.67,5.57,GANESHHOUC,73.10,,73.20,95.64,5.94,160.24,26.62
TEXTILES - PROCESSING,106.65,-,GANECOS,210.00,,209.35,236.85,-,,13.80
TEXTILES - WEAVING,20.80,-,GARDENSILK,29.25,,29.10,41.35,-,,17.15
